path,model,dataset,seed,speed,ACC,AUC,AUPR,SEN,SPEC,F1,MCC
outputs/baselines_2026/ampidentifier/benchmark1/seed32/metrics.json,ampidentifier,benchmark1,32,61.76717252355446,0.8771067415730337,0.9387427408155536,0.9337676537160665,0.8974719101123596,0.8567415730337079,0.8795595320027529,0.7548398677495287
outputs/baselines_2026/ampidentifier/benchmark1/seed37/metrics.json,ampidentifier,benchmark1,37,70.20502437554886,0.8735955056179775,0.938541535159702,0.9350711386704331,0.8932584269662921,0.8539325842696629,0.8760330578512396,0.7477694558880826
outputs/baselines_2026/ampidentifier/benchmark1/seed42/metrics.json,ampidentifier,benchmark1,42,73.97720290693256,0.8742977528089888,0.9388551792702942,0.935449455432657,0.8918539325842697,0.8567415730337079,0.8764665286404417,0.7490573961402955
outputs/baselines_2026/ampidentifier/benchmark1/seed47/metrics.json,ampidentifier,benchmark1,47,99.83647948267001,0.8742977528089888,0.9389656451205657,0.9362468833961766,0.8918539325842697,0.8567415730337079,0.8764665286404417,0.7490573961402955
outputs/baselines_2026/ampidentifier/benchmark1/seed52/metrics.json,ampidentifier,benchmark1,52,72.02618054292175,0.8721910112359551,0.9384606583764676,0.9346423433851252,0.8918539325842697,0.8525280898876404,0.8746556473829201,0.7449582925200824
outputs/baselines_2026/ampidentifier/benchmark2/seed32/metrics.json,ampidentifier,benchmark2,32,181.24192983152406,0.7787096774193548,0.8695214028482567,0.9118945667027502,0.7427293064876958,0.8277439024390244,0.7947336923997608,0.5637099183909103
outputs/baselines_2026/ampidentifier/benchmark2/seed37/metrics.json,ampidentifier,benchmark2,37,177.08220398954808,0.7741935483870968,0.8686381431767337,0.9114989410787838,0.7393736017897091,0.8216463414634146,0.7906698564593301,0.5543710341568073
outputs/baselines_2026/ampidentifier/benchmark2/seed42/metrics.json,ampidentifier,benchmark2,42,179.39076969219792,0.7793548387096774,0.86940886397119,0.9116060665252685,0.7416107382550335,0.8307926829268293,0.7949640287769785,0.5656158342852209
outputs/baselines_2026/ampidentifier/benchmark2/seed47/metrics.json,ampidentifier,benchmark2,47,133.84812000778413,0.7761290322580645,0.8692571070006003,0.9120678721139607,0.7393736017897091,0.8262195121951219,0.7920910724985021,0.5588858187795726
outputs/baselines_2026/ampidentifier/benchmark2/seed52/metrics.json,ampidentifier,benchmark2,52,166.21903546394842,0.772258064516129,0.8687268101707862,0.9116004511474185,0.7337807606263982,0.8246951219512195,0.787987987987988,0.5518603402243683
outputs/baselines_2026/cars_amp/benchmark1/seed32/metrics.json,cars_amp,benchmark1,32,13.135144685845027,0.8806179775280899,0.9452128834743087,0.9535253797015114,0.8356741573033708,0.925561797752809,0.875,0.7643300298644743
outputs/baselines_2026/cars_amp/benchmark1/seed37/metrics.json,cars_amp,benchmark1,37,13.530817147072279,0.8742977528089888,0.941780551698018,0.9433640348241931,0.8370786516853933,0.9115168539325843,0.8694383661560905,0.7506781657609932
outputs/baselines_2026/cars_amp/benchmark1/seed42/metrics.json,cars_amp,benchmark1,42,34.012612324270805,0.8855337078651685,0.9492586952404999,0.9496002469009546,0.8834269662921348,0.8876404494382022,0.8852920478536241,0.7710742603711104
outputs/baselines_2026/cars_amp/benchmark1/seed47/metrics.json,cars_amp,benchmark1,47,13.743144632683377,0.8834269662921348,0.9466666929680595,0.9438282110091711,0.848314606741573,0.9185393258426966,0.8791848617176127,0.768751829469189
outputs/baselines_2026/cars_amp/benchmark1/seed52/metrics.json,cars_amp,benchmark1,52,13.239968180907576,0.889747191011236,0.946411240689307,0.9521221656895387,0.8595505617977528,0.9199438202247191,0.8863142650253439,0.7809198252499148
outputs/baselines_2026/cars_amp/benchmark2/seed32/metrics.json,cars_amp,benchmark2,32,15.92844754697815,0.7896774193548387,0.8736375975336935,0.9179022292386123,0.7684563758389261,0.8185975609756098,0.8082352941176469,0.580556771845904
outputs/baselines_2026/cars_amp/benchmark2/seed37/metrics.json,cars_amp,benchmark2,37,14.556343216569193,0.7670967741935484,0.8527377639548208,0.9049375671186394,0.7013422818791947,0.8567073170731707,0.7764705882352941,0.5527752400000112
outputs/baselines_2026/cars_amp/benchmark2/seed42/metrics.json,cars_amp,benchmark2,42,14.822818639297639,0.775483870967742,0.8537557292519233,0.9055024002578514,0.7203579418344519,0.850609756097561,0.7872860635696821,0.5647088384962442
outputs/baselines_2026/cars_amp/benchmark2/seed47/metrics.json,cars_amp,benchmark2,47,14.763681157942742,0.7741935483870968,0.8646072052163474,0.907981937257474,0.7404921700223713,0.8201219512195121,0.7909199522102748,0.5539774005704877
outputs/baselines_2026/cars_amp/benchmark2/seed52/metrics.json,cars_amp,benchmark2,52,14.485375535103582,0.787741935483871,0.8728754024117422,0.9205123925369776,0.7192393736017897,0.8810975609756098,0.7962848297213623,0.5946629004211856
outputs/baselines_2026/amp_capsnet/benchmark1/seed32/metrics.json,amp_capsnet,benchmark1,32,29.966590619970408,0.8476123595505618,0.9050920811766192,0.8894434730580794,0.8595505617977528,0.8356741573033708,0.84941013185288,0.6954229716599748
outputs/baselines_2026/amp_capsnet/benchmark1/seed37/metrics.json,amp_capsnet,benchmark1,37,15.682087272007982,0.8398876404494382,0.8537589950763793,0.8180375693978387,0.8735955056179775,0.8061797752808989,0.8451086956521738,0.681325315221517
outputs/baselines_2026/amp_capsnet/benchmark1/seed42/metrics.json,amp_capsnet,benchmark1,42,48.07983857338851,0.8588483146067416,0.929574075243025,0.9297784085686762,0.8497191011235955,0.8679775280898876,0.8575478384124734,0.7178162884507919
outputs/baselines_2026/amp_capsnet/benchmark1/seed47/metrics.json,amp_capsnet,benchmark1,47,30.820587914164985,0.8419943820224719,0.9278322654967808,0.9242385876047068,0.7808988764044944,0.9030898876404494,0.8317127898279731,0.6891528600976172
outputs/baselines_2026/amp_capsnet/benchmark1/seed52/metrics.json,amp_capsnet,benchmark1,52,26.451881250282852,0.8637640449438202,0.9294182394899634,0.920201180654049,0.8384831460674157,0.8890449438202247,0.8602305475504323,0.7284598378804878
outputs/baselines_2026/amp_capsnet/benchmark2/seed32/metrics.json,amp_capsnet,benchmark2,32,22.92472899200455,0.7483870967741936,0.8316861734053582,0.8873148712387673,0.6935123042505593,0.823170731707317,0.7607361963190186,0.5112034454342727
outputs/baselines_2026/amp_capsnet/benchmark2/seed37/metrics.json,amp_capsnet,benchmark2,37,43.64178455885379,0.7503225806451613,0.8152878949091504,0.857625832727122,0.7024608501118568,0.8155487804878049,0.764455264759586,0.5121549165925965
outputs/baselines_2026/amp_capsnet/benchmark2/seed42/metrics.json,amp_capsnet,benchmark2,42,38.85259821770653,0.7529032258064516,0.8354681617285972,0.8894494252915359,0.7203579418344519,0.7972560975609756,0.7707959305804908,0.5114774249513738
outputs/baselines_2026/amp_capsnet/benchmark2/seed47/metrics.json,amp_capsnet,benchmark2,47,29.585624053593605,0.7735483870967742,0.8420499809024935,0.893276638619037,0.772930648769575,0.774390243902439,0.7974610502019619,0.542683884411048
outputs/baselines_2026/amp_capsnet/benchmark2/seed52/metrics.json,amp_capsnet,benchmark2,52,25.047456184702536,0.7554838709677419,0.8296366017351449,0.8860930971974068,0.6823266219239373,0.8551829268292683,0.7629768605378362,0.5333151855784071
