model_id,dataset,checkpoint_seed,trainable_params,total_params,batch_size,warmup_iterations,timed_iterations,repeats,inference_ms_per_1000_mean,inference_ms_per_1000_std,peak_gpu_memory_mb
PepNet_same_split,benchmark1,32,45551174,45551174,128,20,100,5,239.93991088867188,4.373708247715227,643.1806640625
PepNet_same_split,benchmark2,32,45551174,45551174,128,20,100,5,240.54368209838867,3.3177472618740476,643.0556640625
